GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,17 Mar 2013,Caterham Renault,18,0
Malaysia,24 Mar 2013,Caterham Renault,15,0
China,14 Apr 2013,Caterham Renault,18,0
Bahrain,21 Apr 2013,Caterham Renault,21,0
Spain,12 May 2013,Caterham Renault,DNF,0
Monaco,26 May 2013,Caterham Renault,15,0
Canada,09 Jun 2013,Caterham Renault,DNF,0
Great Britain,30 Jun 2013,Caterham Renault,18,0
Germany,07 Jul 2013,Caterham Renault,18,0
Hungary,28 Jul 2013,Caterham Renault,14,0
Belgium,25 Aug 2013,Caterham Renault,16,0
Italy,08 Sep 2013,Caterham Renault,18,0
Singapore,22 Sep 2013,Caterham Renault,16,0
South Korea,06 Oct 2013,Caterham Renault,15,0
Japan,13 Oct 2013,Caterham Renault,DNF,0
India,27 Oct 2013,Caterham Renault,DNF,0
Abu Dhabi,03 Nov 2013,Caterham Renault,18,0
United States,17 Nov 2013,Caterham Renault,19,0
Brazil,24 Nov 2013,Caterham Renault,18,0
