GRAND PRIX,DATE,PTS
Monaco,07 May 1967,0
Netherlands,04 Jun 1967,0
Belgium,18 Jun 1967,9
France,02 Jul 1967,0
Great Britain,15 Jul 1967,0
Germany,06 Aug 1967,0
Canada,27 Aug 1967,4
Italy,10 Sep 1967,0
United States,01 Oct 1967,0
