POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,7,John Surtees,Cooper Maserati,65,2:06:35.340,9
2,5,Jack Brabham,Brabham Repco,65,+7.880s,6
3,6,Denny Hulme,Brabham Repco,64,+1 lap,4
4,12,Richie Ginther,Honda,64,+1 lap,3
5,15,Dan Gurney,Eagle Climax,64,+1 lap,2
6,22,Jo Bonnier,Cooper Maserati,63,+2 laps,1
7,2,Peter Arundell,Lotus BRM,61,+4 laps,0
8,14,Ronnie Bucknum,Honda,60,+5 laps,0
NC,11,Pedro Rodriguez,Lotus Climax,49,DNF,0
NC,17,Bruce McLaren,McLaren Ford,40,DNF,0
NC,19,Jo Siffert,Cooper Maserati,33,DNF,0
NC,8,Jochen Rindt,Cooper Maserati,32,DNF,0
NC,10,Innes Ireland,BRM,28,DNF,0
NC,4,Jackie Stewart,BRM,26,DNF,0
NC,16,Bob Bondurant,Eagle Weslake,24,DNF,0
NC,3,Graham Hill,BRM,18,DNF,0
NC,9,Moises Solana,Cooper Maserati,9,DNF,0
NC,1,Jim Clark,Lotus BRM,9,DNF,0
