GRAND PRIX,DATE,PTS
Bahrain,28 Mar 2021,12
Emilia Romagna,18 Apr 2021,22
Portugal,02 May 2021,8
Spain,09 May 2021,18
Monaco,23 May 2021,18
Azerbaijan,06 Jun 2021,16
France,20 Jun 2021,0
Styria,27 Jun 2021,14
Austria,04 Jul 2021,14
Great Britain,18 Jul 2021,26
Hungary,01 Aug 2021,15
Belgium,29 Aug 2021,2.5
Netherlands,05 Sep 2021,16
Italy,12 Sep 2021,20
Russia,26 Sep 2021,15
Turkey,10 Oct 2021,16
United States,24 Oct 2021,18
Mexico,07 Nov 2021,18
Brazil,14 Nov 2021,19
Qatar,21 Nov 2021,10
Saudi Arabia,05 Dec 2021,10
Abu Dhabi,12 Dec 2021,16
