GRAND PRIX,DATE,PTS
Bahrain,28 Mar 2021,41
Emilia Romagna,18 Apr 2021,19
Portugal,02 May 2021,41
Spain,09 May 2021,40
Monaco,23 May 2021,7
Azerbaijan,06 Jun 2021,0
France,20 Jun 2021,30
Styria,27 Jun 2021,34
Austria,04 Jul 2021,30
Great Britain,18 Jul 2021,43
Hungary,01 Aug 2021,18
Belgium,29 Aug 2021,7.5
Netherlands,05 Sep 2021,34
Italy,12 Sep 2021,18
Russia,26 Sep 2021,35
Turkey,10 Oct 2021,36
United States,24 Oct 2021,27
Mexico,07 Nov 2021,18
Brazil,14 Nov 2021,43
Qatar,21 Nov 2021,25
Saudi Arabia,05 Dec 2021,41
Abu Dhabi,12 Dec 2021,26
