GRAND PRIX,DATE,PTS
Bahrain,28 Mar 2021,18
Emilia Romagna,18 Apr 2021,23
Portugal,02 May 2021,12
Spain,09 May 2021,12
Monaco,23 May 2021,15
Azerbaijan,06 Jun 2021,12
France,20 Jun 2021,18
Styria,27 Jun 2021,10
Austria,04 Jul 2021,21
Great Britain,18 Jul 2021,22
Hungary,01 Aug 2021,0
Belgium,29 Aug 2021,6
Netherlands,05 Sep 2021,1
Italy,12 Sep 2021,45
Russia,26 Sep 2021,19
Turkey,10 Oct 2021,6
United States,24 Oct 2021,14
Mexico,07 Nov 2021,1
Brazil,14 Nov 2021,1
Qatar,21 Nov 2021,2
Saudi Arabia,05 Dec 2021,11
Abu Dhabi,12 Dec 2021,6
