GRAND PRIX,DATE,PTS
Bahrain,28 Mar 2021,0
Emilia Romagna,18 Apr 2021,3
Portugal,02 May 2021,10
Spain,09 May 2021,2
Monaco,23 May 2021,2
Azerbaijan,06 Jun 2021,8
France,20 Jun 2021,4
Styria,27 Jun 2021,2
Austria,04 Jul 2021,1
Great Britain,18 Jul 2021,8
Hungary,01 Aug 2021,37
Belgium,29 Aug 2021,3
Netherlands,05 Sep 2021,10
Italy,12 Sep 2021,5
Russia,26 Sep 2021,8
Turkey,10 Oct 2021,1
United States,24 Oct 2021,0
Mexico,07 Nov 2021,2
Brazil,14 Nov 2021,6
Qatar,21 Nov 2021,25
Saudi Arabia,05 Dec 2021,12
Abu Dhabi,12 Dec 2021,6
