GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,26 Mar 1989,Benetton Ford,6,1
San Marino,23 Apr 1989,Benetton Ford,3,4
Monaco,07 May 1989,Benetton Ford,8,0
Mexico,28 May 1989,Benetton Ford,4,3
United States,04 Jun 1989,Benetton Ford,DNF,0
France,09 Jul 1989,Benetton Ford,DNF,0
Great Britain,16 Jul 1989,Benetton Ford,3,4
Germany,30 Jul 1989,Benetton Ford,DNF,0
Hungary,13 Aug 1989,Benetton Ford,DNF,0
Belgium,27 Aug 1989,Benetton Ford,5,2
Italy,10 Sep 1989,Benetton Ford,DNF,0
Portugal,24 Sep 1989,Benetton Ford,4,3
Spain,01 Oct 1989,Benetton Ford,DNF,0
Japan,22 Oct 1989,Benetton Ford,1,9
Australia,05 Nov 1989,Benetton Ford,2,6
