GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,26 Mar 1989,McLaren Honda,2,6
San Marino,23 Apr 1989,McLaren Honda,2,6
Monaco,07 May 1989,McLaren Honda,2,6
Mexico,28 May 1989,McLaren Honda,5,2
United States,04 Jun 1989,McLaren Honda,1,9
Canada,18 Jun 1989,McLaren Honda,DNF,0
France,09 Jul 1989,McLaren Honda,1,9
Great Britain,16 Jul 1989,McLaren Honda,1,9
Germany,30 Jul 1989,McLaren Honda,2,6
Hungary,13 Aug 1989,McLaren Honda,4,3
Belgium,27 Aug 1989,McLaren Honda,2,6
Italy,10 Sep 1989,McLaren Honda,1,9
Portugal,24 Sep 1989,McLaren Honda,2,6
Spain,01 Oct 1989,McLaren Honda,3,4
Japan,22 Oct 1989,McLaren Honda,DNF,0
