GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,26 Mar 1989,Arrows Ford,5,2
San Marino,23 Apr 1989,Arrows Ford,5,2
Monaco,07 May 1989,Arrows Ford,DNF,0
Mexico,28 May 1989,Arrows Ford,DNF,0
United States,04 Jun 1989,Arrows Ford,DNF,0
Canada,18 Jun 1989,Arrows Ford,DNF,0
Great Britain,16 Jul 1989,Arrows Ford,9,0
Germany,30 Jul 1989,Arrows Ford,6,1
Hungary,13 Aug 1989,Arrows Ford,10,0
Belgium,27 Aug 1989,Arrows Ford,6,1
Italy,10 Sep 1989,Arrows Ford,DNF,0
Portugal,24 Sep 1989,Arrows Ford,DNF,0
Spain,01 Oct 1989,Arrows Ford,9,0
Japan,22 Oct 1989,Arrows Ford,6,1
Australia,05 Nov 1989,Arrows Ford,DNF,0
