GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Monaco,10 May 1959,Cooper Climax,DNF,0
Netherlands,31 May 1959,Cooper Climax,3,4
France,05 Jul 1959,Cooper Climax,DNF,0
Great Britain,18 Jul 1959,Cooper Climax,7,0
Germany,02 Aug 1959,Cooper Climax,DNF,0
Portugal,23 Aug 1959,Cooper Climax,2,6
