POS,DRIVER,NATIONALITY,CAR,PTS
1,Jackie Stewart,GBR,Matra Ford,63
2,Jacky Ickx,BEL,Brabham Ford,37
3,Bruce McLaren,NZL,McLaren Ford,26
4,Jochen Rindt,AUT,Lotus Ford,22
5,Jean-Pierre Beltoise,FRA,Matra Ford,21
6,Denny Hulme,NZL,McLaren Ford,20
7,Graham Hill,GBR,Lotus Ford,19
8,Piers Courage,GBR,Brabham Ford,16
9,Jo Siffert,SUI,Lotus Ford,15
10,Jack Brabham,AUS,Brabham Ford,14
11,John Surtees,GBR,BRM,6
12,Chris Amon,NZL,Ferrari,4
13,Richard Attwood,GBR,null,3
13,Vic Elford,GBR,McLaren Ford,3
13,Pedro Rodriguez,MEX,Ferrari,3
16,Johnny Servoz-Gavin,FRA,Matra Ford,1
16,Silvio Moser,SUI,Brabham Ford,1
16,Jackie Oliver,GBR,BRM,1
