GRAND PRIX,DATE,PTS
Brazil,27 Mar 1994,10
Pacific,17 Apr 1994,10
San Marino,01 May 1994,10
Monaco,15 May 1994,10
Spain,29 May 1994,6
Canada,12 Jun 1994,11
France,03 Jul 1994,10
Great Britain,10 Jul 1994,0
Germany,31 Jul 1994,0
Hungary,14 Aug 1994,14
Belgium,28 Aug 1994,4
Italy,11 Sep 1994,0
Portugal,25 Sep 1994,2
Europe,16 Oct 1994,10
Japan,06 Nov 1994,6
Australia,13 Nov 1994,0
