GRAND PRIX,DATE,PTS
South Africa,07 Mar 1970,4
Spain,19 Apr 1970,9
Monaco,10 May 1970,0
Belgium,07 Jun 1970,6
Netherlands,21 Jun 1970,6
France,05 Jul 1970,6
Great Britain,18 Jul 1970,2
Germany,02 Aug 1970,0
Austria,16 Aug 1970,0
Italy,06 Sep 1970,6
Canada,20 Sep 1970,4
United States,04 Oct 1970,2
Mexico,25 Oct 1970,3
