GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2008,Williams Toyota,6,3
Malaysia,23 Mar 2008,Williams Toyota,17,0
Bahrain,06 Apr 2008,Williams Toyota,14,0
Spain,27 Apr 2008,Williams Toyota,7,2
Turkey,11 May 2008,Williams Toyota,DNF,0
Monaco,25 May 2008,Williams Toyota,7,2
Canada,08 Jun 2008,Williams Toyota,DNF,0
France,22 Jun 2008,Williams Toyota,15,0
Great Britain,06 Jul 2008,Williams Toyota,8,1
Germany,20 Jul 2008,Williams Toyota,14,0
Hungary,03 Aug 2008,Williams Toyota,13,0
Europe,24 Aug 2008,Williams Toyota,15,0
Belgium,07 Sep 2008,Williams Toyota,14,0
Italy,14 Sep 2008,Williams Toyota,12,0
Singapore,28 Sep 2008,Williams Toyota,8,1
Japan,12 Oct 2008,Williams Toyota,15,0
China,19 Oct 2008,Williams Toyota,12,0
Brazil,02 Nov 2008,Williams Toyota,17,0
