GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,23 Jan 1982,Ligier Matra,DNF,0
Brazil,21 Mar 1982,Ligier Matra,DNF,0
USA West,04 Apr 1982,Ligier Matra,DNF,0
Belgium,09 May 1982,Ligier Matra,3,4
Monaco,23 May 1982,Ligier Matra,DNF,0
Detroit,06 Jun 1982,Ligier Matra,2,6
Canada,13 Jun 1982,Ligier Matra,DNF,0
Great Britain,18 Jul 1982,Ligier Matra,DNF,0
France,25 Jul 1982,Ligier Matra,16,0
Germany,08 Aug 1982,Ligier Matra,DNF,0
Austria,15 Aug 1982,Ligier Matra,DNF,0
Switzerland,29 Aug 1982,Ligier Matra,DNC,0
Italy,12 Sep 1982,Ligier Matra,6,1
Las Vegas,25 Sep 1982,Ligier Matra,3,4
