GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,23 Jan 1982,McLaren Ford,6,1
Brazil,21 Mar 1982,McLaren Ford,2,6
USA West,04 Apr 1982,McLaren Ford,6,1
Belgium,09 May 1982,McLaren Ford,1,9
Monaco,23 May 1982,McLaren Ford,DNF,0
Detroit,06 Jun 1982,McLaren Ford,1,9
Canada,13 Jun 1982,McLaren Ford,3,4
Netherlands,03 Jul 1982,McLaren Ford,9,0
Great Britain,18 Jul 1982,McLaren Ford,DNF,0
France,25 Jul 1982,McLaren Ford,DNF,0
Germany,08 Aug 1982,McLaren Ford,DNF,0
Austria,15 Aug 1982,McLaren Ford,DNF,0
Switzerland,29 Aug 1982,McLaren Ford,13,0
Italy,12 Sep 1982,McLaren Ford,4,3
Las Vegas,25 Sep 1982,McLaren Ford,2,6
