GRAND PRIX,DRIVER,CAR,TIME
Monaco,Jack Brabham,Cooper Climax,1:40.400
Indianapolis 500,Johnny Thomson,Lesovsky Offenhauser,1:01.890
Netherlands,Stirling Moss,Cooper Climax,1:36.700
France,Stirling Moss,BRM,2:22.800
Great Britain,Stirling Moss,BRM,1:57.000
Germany,Tony Brooks,Ferrari,2:04.500
Portugal,Stirling Moss,Cooper Climax,2:05.070
Italy,Phil Hill,Ferrari,1:40.400
United States,Maurice Trintignant,Cooper Climax,3:05.000
