GRAND PRIX,DRIVER,CAR,TIME
Brazil,Alain Prost,McLaren TAG,1:36.499
South Africa,Patrick Tambay,Renault,1:08.877
Belgium,Rene Arnoux,Ferrari,1:19.294
San Marino,Nelson Piquet,Brabham BMW,1:33.275
France,Alain Prost,McLaren TAG,1:05.257
Monaco,Ayrton Senna,Toleman Hart,1:54.334
Canada,Nelson Piquet,Brabham BMW,1:28.763
Detroit,Derek Warwick,Renault,1:46.221
Dallas,Niki Lauda,McLaren TAG,1:45.353
Great Britain,Niki Lauda,McLaren TAG,1:13.191
Germany,Alain Prost,McLaren TAG,1:53.538
Austria,Niki Lauda,McLaren TAG,1:32.882
Netherlands,Rene Arnoux,Ferrari,1:19.465
Italy,Niki Lauda,McLaren TAG,1:31.912
Europe,Nelson Piquet,Brabham BMW,1:23.146
Portugal,Niki Lauda,McLaren TAG,1:22.996
