POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Jacky Ickx,Brabham Ford,14,1:49:55.400,9
2,7,Jackie Stewart,Matra Ford,14,+57.700s,6
3,10,Bruce McLaren,McLaren Ford,14,+201.600s,4
4,1,Graham Hill,Lotus Ford,14,+238.800s,3
5,26,Henri Pescarolo,null,14,+491.000s,0
6,29,Richard Attwood,null,13,+1 lap,0
7,20,Kurt Ahrens,null,13,+1 lap,0
8,22,Rolf Stommelen,null,13,+1 lap,0
9,31,Peter Westbury,null,13,+1 lap,0
10,30,Xavier Perrot,null,13,+1 lap,0
11,11,Jo Siffert,Lotus Ford,12,DNF,0
12,8,Jean-Pierre Beltoise,Matra Ford,12,DNF,0
NC,15,Jackie Oliver,BRM,11,DNF,0
NC,9,Denny Hulme,McLaren Ford,11,DNF,0
NC,2,Jochen Rindt,Lotus Ford,10,DNF,0
NC,28,Francois Cevert,null,9,DNF,0
NC,27,Johnny Servoz-Gavin,null,6,DNF,0
NC,16,Jo Bonnier,Lotus Ford,4,DNF,0
NC,17,Piers Courage,Brabham Ford,1,DNF,0
NC,12,Vic Elford,McLaren Ford,0,DNF,0
NC,3,Mario Andretti,Lotus Ford,0,DNF,0
