POS,DRIVER,NATIONALITY,CAR,PTS
1,Michael Schumacher,GER,Ferrari,123
2,David Coulthard,GBR,McLaren Mercedes,65
3,Rubens Barrichello,BRA,Ferrari,56
4,Ralf Schumacher,GER,Williams BMW,49
5,Mika Hakkinen,FIN,McLaren Mercedes,37
6,Juan Pablo Montoya,COL,Williams BMW,31
7,Jacques Villeneuve,CAN,BAR Honda,12
8,Nick Heidfeld,GER,Sauber Petronas,12
9,Jarno Trulli,ITA,Jordan Honda,12
10,Kimi Räikkönen,FIN,Sauber Petronas,9
11,Giancarlo Fisichella,ITA,Benetton Renault,8
12,Eddie Irvine,GBR,Jaguar Cosworth,6
13,Heinz-Harald Frentzen,GER,Prost Acer,6
14,Olivier Panis,FRA,BAR Honda,5
15,Jean Alesi,FRA,Jordan Honda,5
16,Pedro de la Rosa,ESP,Jaguar Cosworth,3
17,Jenson Button,GBR,Benetton Renault,2
18,Jos Verstappen,NED,Arrows Asiatech,1
