GRAND PRIX,DATE,CAR,RACE POSITION,PTS
United States,11 Mar 1990,Leyton House Judd,DNF,0
Monaco,27 May 1990,Leyton House Judd,DNF,0
Canada,10 Jun 1990,Leyton House Judd,10,0
France,08 Jul 1990,Leyton House Judd,2,6
Great Britain,15 Jul 1990,Leyton House Judd,DNF,0
Germany,29 Jul 1990,Leyton House Judd,7,0
Hungary,12 Aug 1990,Leyton House Judd,DNF,0
Belgium,26 Aug 1990,Leyton House Judd,7,0
Italy,09 Sep 1990,Leyton House Judd,DNF,0
Portugal,23 Sep 1990,Leyton House Judd,DNF,0
Spain,30 Sep 1990,Leyton House Judd,DNF,0
Japan,21 Oct 1990,Leyton House Judd,DNF,0
Australia,04 Nov 1990,Leyton House Judd,DNF,0
