GRAND PRIX,DRIVER,CAR,TIME
United States,Jean Alesi,Ferrari,1:26.758
Brazil,Nigel Mansell,Williams Renault,1:20.436
San Marino,Gerhard Berger,McLaren Honda,1:26.531
Monaco,Alain Prost,Ferrari,1:24.368
Canada,Nigel Mansell,Williams Renault,1:22.385
Mexico,Nigel Mansell,Williams Renault,1:16.788
France,Nigel Mansell,Williams Renault,1:19.168
Great Britain,Nigel Mansell,Williams Renault,1:26.379
Germany,Riccardo Patrese,Williams Renault,1:43.569
Hungary,Bertrand Gachot,Jordan Ford,1:21.547
Belgium,Roberto Moreno,Benetton Ford,1:55.161
Italy,Ayrton Senna,McLaren Honda,1:26.061
Portugal,Nigel Mansell,Williams Renault,1:18.179
Spain,Riccardo Patrese,Williams Renault,1:22.837
Japan,Ayrton Senna,McLaren Honda,1:41.532
Australia,Gerhard Berger,McLaren Honda,1:41.141
