GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,18 Jan 1953,Maserati,3,4
Netherlands,07 Jun 1953,Maserati,3,2
Netherlands,07 Jun 1953,Maserati,DNF,2
Belgium,21 Jun 1953,Maserati,DNF,1
France,05 Jul 1953,Maserati,3,4
Great Britain,18 Jul 1953,Maserati,4,3.5
