GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Netherlands,04 Jun 1967,Lotus BRM,7,0
Belgium,18 Jun 1967,BRM,DNF,0
France,02 Jul 1967,BRM,DNF,2
Great Britain,15 Jul 1967,BRM,7,0
Germany,06 Aug 1967,BRM,9,0
Canada,27 Aug 1967,BRM,DNF,0
Italy,10 Sep 1967,BRM,DNF,0
United States,01 Oct 1967,BRM,DNF,0
Mexico,22 Oct 1967,BRM,DNF,0
