GRAND PRIX,DATE,PTS
Australia,04 Mar 2001,0
Malaysia,18 Mar 2001,2
Brazil,01 Apr 2001,0
San Marino,15 Apr 2001,10
Spain,29 Apr 2001,6
Austria,13 May 2001,0
Monaco,27 May 2001,0
Canada,10 Jun 2001,10
Europe,24 Jun 2001,9
France,01 Jul 2001,6
Great Britain,15 Jul 2001,3
Germany,29 Jul 2001,10
Hungary,19 Aug 2001,3
Belgium,02 Sep 2001,0
Italy,16 Sep 2001,14
United States,30 Sep 2001,0
Japan,14 Oct 2001,7
