GRAND PRIX,DATE,PTS
Monaco,10 May 1964,0
Belgium,14 Jun 1964,0
France,28 Jun 1964,0
Great Britain,11 Jul 1964,0
Austria,23 Aug 1964,2
Italy,06 Sep 1964,2
United States,04 Oct 1964,1
Mexico,25 Oct 1964,0
