GRAND PRIX,DATE,PTS
Netherlands,24 May 1964,0
Belgium,14 Jun 1964,0
France,28 Jun 1964,0
Great Britain,11 Jul 1964,0
Germany,02 Aug 1964,3
Austria,23 Aug 1964,0
Italy,06 Sep 1964,0
United States,04 Oct 1964,4
Mexico,25 Oct 1964,0
