GRAND PRIX,DRIVER,CAR,TIME
Australia,Kimi Räikkönen,Lotus Renault,1:29.274
Malaysia,Sergio Perez,McLaren Mercedes,1:39.199
China,Sebastian Vettel,Red Bull Racing Renault,1:36.808
Bahrain,Sebastian Vettel,Red Bull Racing Renault,1:36.961
Spain,Esteban Gutierrez,Sauber Ferrari,1:26.217
Monaco,Sebastian Vettel,Red Bull Racing Renault,1:16.577
Canada,Mark Webber,Red Bull Racing Renault,1:16.182
Great Britain,Mark Webber,Red Bull Racing Renault,1:33.401
Germany,Fernando Alonso,Ferrari,1:33.468
Hungary,Mark Webber,Red Bull Racing Renault,1:24.069
Belgium,Sebastian Vettel,Red Bull Racing Renault,1:50.756
Italy,Lewis Hamilton,Mercedes,1:25.849
Singapore,Sebastian Vettel,Red Bull Racing Renault,1:48.574
South Korea,Sebastian Vettel,Red Bull Racing Renault,1:41.380
Japan,Mark Webber,Red Bull Racing Renault,1:34.587
India,Kimi Räikkönen,Lotus Renault,1:27.679
Abu Dhabi,Fernando Alonso,Ferrari,1:43.434
United States,Sebastian Vettel,Red Bull Racing Renault,1:39.856
Brazil,Mark Webber,Red Bull Racing Renault,1:15.436
