GRAND PRIX,DRIVER,CAR,TIME
Brazil,Michael Schumacher,Benetton Renault,1:20.921
Argentina,Michael Schumacher,Benetton Renault,1:30.522
San Marino,Gerhard Berger,Ferrari,1:29.568
Spain,Damon Hill,Williams Renault,1:24.531
Monaco,Jean Alesi,Ferrari,1:24.621
Canada,Michael Schumacher,Benetton Renault,1:29.174
France,Michael Schumacher,Benetton Renault,1:20.218
Great Britain,Damon Hill,Williams Renault,1:29.752
Germany,Michael Schumacher,Benetton Renault,1:48.824
Hungary,Damon Hill,Williams Renault,1:20.247
Belgium,David Coulthard,Williams Renault,1:53.412
Italy,Gerhard Berger,Ferrari,1:26.419
Portugal,David Coulthard,Williams Renault,1:23.220
Europe,Michael Schumacher,Benetton Renault,1:21.180
Pacific,Michael Schumacher,Benetton Renault,1:16.374
Japan,Michael Schumacher,Benetton Renault,1:42.976
Australia,Damon Hill,Williams Renault,1:17.943
