POS,DRIVER,NATIONALITY,CAR,PTS
1,Jackie Stewart,GBR,Tyrrell Ford,71
2,Emerson Fittipaldi,BRA,Lotus Ford,55
3,Ronnie Peterson,SWE,Lotus Ford,52
4,Francois Cevert,FRA,Tyrrell Ford,47
5,Peter Revson,USA,McLaren Ford,38
6,Denny Hulme,NZL,McLaren Ford,26
7,Carlos Reutemann,ARG,Brabham Ford,16
8,James Hunt,GBR,March Ford,14
9,Jacky Ickx,BEL,Iso Marlboro Ford,12
10,Jean-Pierre Beltoise,FRA,BRM,9
11,Carlos Pace,BRA,Surtees Ford,7
12,Arturo Merzario,ITA,Ferrari,6
13,George Follmer,USA,Shadow Ford,5
14,Jackie Oliver,GBR,Shadow Ford,4
15,Andrea de Adamich,ITA,Brabham Ford,3
15,Wilson Fittipaldi,BRA,Brabham Ford,3
17,Niki Lauda,AUT,BRM,2
17,Clay Regazzoni,SUI,BRM,2
19,Chris Amon,NZL,Tyrrell Ford,1
19,Gijs van Lennep,NED,Iso Marlboro Ford,1
19,Howden Ganley,NZL,Iso Marlboro Ford,1
