GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,28 Jan 1973,McLaren Ford,5,2
Brazil,11 Feb 1973,McLaren Ford,3,4
South Africa,03 Mar 1973,McLaren Ford,5,2
Spain,29 Apr 1973,McLaren Ford,6,1
Belgium,20 May 1973,McLaren Ford,7,0
Monaco,03 Jun 1973,McLaren Ford,6,1
Sweden,17 Jun 1973,McLaren Ford,1,9
France,01 Jul 1973,McLaren Ford,8,0
Great Britain,14 Jul 1973,McLaren Ford,3,4
Netherlands,29 Jul 1973,McLaren Ford,DNF,0
Germany,05 Aug 1973,McLaren Ford,12,0
Austria,19 Aug 1973,McLaren Ford,8,0
Italy,09 Sep 1973,McLaren Ford,15,0
Canada,23 Sep 1973,McLaren Ford,13,0
United States,07 Oct 1973,McLaren Ford,4,3
