GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,28 Jan 1973,Tyrrell Ford,2,6
Brazil,11 Feb 1973,Tyrrell Ford,10,0
South Africa,03 Mar 1973,Tyrrell Ford,DNC,0
Spain,29 Apr 1973,Tyrrell Ford,2,6
Belgium,20 May 1973,Tyrrell Ford,2,6
Monaco,03 Jun 1973,Tyrrell Ford,4,3
Sweden,17 Jun 1973,Tyrrell Ford,3,4
France,01 Jul 1973,Tyrrell Ford,2,6
Great Britain,14 Jul 1973,Tyrrell Ford,5,2
Netherlands,29 Jul 1973,Tyrrell Ford,2,6
Germany,05 Aug 1973,Tyrrell Ford,2,6
Austria,19 Aug 1973,Tyrrell Ford,DNF,0
Italy,09 Sep 1973,Tyrrell Ford,5,2
Canada,23 Sep 1973,Tyrrell Ford,DNF,0
