GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,28 Jan 1973,Lotus Ford,1,9
Brazil,11 Feb 1973,Lotus Ford,1,9
South Africa,03 Mar 1973,Lotus Ford,3,4
Spain,29 Apr 1973,Lotus Ford,1,9
Belgium,20 May 1973,Lotus Ford,3,4
Monaco,03 Jun 1973,Lotus Ford,2,6
Sweden,17 Jun 1973,Lotus Ford,DNF,0
France,01 Jul 1973,Lotus Ford,DNF,0
Great Britain,14 Jul 1973,Lotus Ford,DNF,0
Netherlands,29 Jul 1973,Lotus Ford,DNF,0
Germany,05 Aug 1973,Lotus Ford,6,1
Austria,19 Aug 1973,Lotus Ford,DNF,0
Italy,09 Sep 1973,Lotus Ford,2,6
Canada,23 Sep 1973,Lotus Ford,2,6
United States,07 Oct 1973,Lotus Ford,6,1
