GRAND PRIX,DATE,CAR,RACE POSITION,PTS
USA West,15 Mar 1981,Lotus Ford,DNF,0
Brazil,29 Mar 1981,Lotus Ford,5,2
Argentina,12 Apr 1981,Lotus Ford,6,1
Belgium,17 May 1981,Lotus Ford,5,2
Monaco,31 May 1981,Lotus Ford,DNF,0
Spain,21 Jun 1981,Lotus Ford,5,2
France,05 Jul 1981,Lotus Ford,6,1
Great Britain,18 Jul 1981,Lotus Ford,DNF,0
Germany,02 Aug 1981,Lotus Ford,7,0
Austria,16 Aug 1981,Lotus Ford,7,0
Netherlands,30 Aug 1981,Lotus Ford,5,2
Italy,13 Sep 1981,Lotus Ford,4,3
Canada,27 Sep 1981,Lotus Ford,6,1
Las Vegas,17 Oct 1981,Lotus Ford,DNF,0
