GRAND PRIX,DATE,CAR,RACE POSITION,PTS
USA West,15 Mar 1981,Ligier Matra,DNF,0
Brazil,29 Mar 1981,Ligier Matra,6,1
Argentina,12 Apr 1981,Ligier Matra,DNF,0
San Marino,03 May 1981,Ligier Matra,DNF,0
Belgium,17 May 1981,Ligier Matra,2,6
Monaco,31 May 1981,Ligier Matra,3,4
Spain,21 Jun 1981,Ligier Matra,2,6
France,05 Jul 1981,Ligier Matra,DNF,0
Great Britain,18 Jul 1981,Ligier Matra,3,4
Germany,02 Aug 1981,Ligier Matra,3,4
Austria,16 Aug 1981,Ligier Matra,1,9
Netherlands,30 Aug 1981,Ligier Matra,DNF,0
Italy,13 Sep 1981,Ligier Matra,DNF,0
Canada,27 Sep 1981,Ligier Matra,1,9
Las Vegas,17 Oct 1981,Ligier Matra,6,1
