GRAND PRIX,DRIVER,CAR,TIME
Australia,Kimi Räikkönen,Ferrari,1:25.235
Malaysia,Lewis Hamilton,McLaren Mercedes,1:36.701
Bahrain,Felipe Massa,Ferrari,1:34.067
Spain,Felipe Massa,Ferrari,1:22.680
Monaco,Fernando Alonso,McLaren Mercedes,1:15.284
Canada,Fernando Alonso,McLaren Mercedes,1:16.367
United States,Kimi Räikkönen,Ferrari,1:13.117
France,Felipe Massa,Ferrari,1:16.099
Great Britain,Kimi Räikkönen,Ferrari,1:20.638
Europe,Felipe Massa,Ferrari,1:32.853
Hungary,Kimi Räikkönen,Ferrari,1:20.047
Turkey,Kimi Räikkönen,Ferrari,1:27.295
Italy,Fernando Alonso,McLaren Mercedes,1:22.871
Belgium,Felipe Massa,Ferrari,1:48.036
Japan,Lewis Hamilton,McLaren Mercedes,1:28.193
China,Felipe Massa,Ferrari,1:37.454
Brazil,Kimi Räikkönen,Ferrari,1:12.445
