GRAND PRIX,DATE,PTS
United States,10 Mar 1991,0
Brazil,24 Mar 1991,6
San Marino,28 Apr 1991,0
Monaco,12 May 1991,6
Canada,02 Jun 1991,5
Mexico,16 Jun 1991,16
France,07 Jul 1991,12
Great Britain,14 Jul 1991,10
Germany,28 Jul 1991,16
Hungary,11 Aug 1991,10
Belgium,25 Aug 1991,2
Italy,08 Sep 1991,10
Portugal,22 Sep 1991,10
Spain,29 Sep 1991,14
Japan,20 Oct 1991,4
Australia,03 Nov 1991,4
