GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,13 Jan 1974,Ferrari,3,4
Brazil,27 Jan 1974,Ferrari,2,6
South Africa,30 Mar 1974,Ferrari,DNF,0
Spain,28 Apr 1974,Ferrari,2,6
Belgium,12 May 1974,Ferrari,4,3
Monaco,26 May 1974,Ferrari,4,3
Sweden,09 Jun 1974,Ferrari,DNF,0
Netherlands,23 Jun 1974,Ferrari,2,6
France,07 Jul 1974,Ferrari,3,4
Great Britain,20 Jul 1974,Ferrari,4,3
Germany,04 Aug 1974,Ferrari,1,9
Austria,18 Aug 1974,Ferrari,5,2
Italy,08 Sep 1974,Ferrari,DNF,0
Canada,22 Sep 1974,Ferrari,2,6
United States,06 Oct 1974,Ferrari,11,0
