POS,DRIVER,NATIONALITY,CAR,PTS
1,Emerson Fittipaldi,BRA,McLaren Ford,55
2,Clay Regazzoni,SUI,Ferrari,52
3,Jody Scheckter,RSA,Tyrrell Ford,45
4,Niki Lauda,AUT,Ferrari,38
5,Ronnie Peterson,SWE,Lotus Ford,35
6,Carlos Reutemann,ARG,Brabham Ford,32
7,Denny Hulme,NZL,McLaren Ford,20
8,James Hunt,GBR,Hesketh Ford,15
9,Patrick Depailler,FRA,Tyrrell Ford,14
10,Jacky Ickx,BEL,Lotus Ford,12
10,Mike Hailwood,GBR,McLaren Ford,12
12,Carlos Pace,BRA,Brabham Ford,11
13,Jean-Pierre Beltoise,FRA,BRM,10
14,Jean-Pierre Jarier,FRA,Shadow Ford,6
14,John Watson,GBR,Brabham Ford,6
16,Hans-Joachim Stuck,GER,March Ford,5
17,Arturo Merzario,ITA,Iso Marlboro Ford,4
18,Graham Hill,GBR,Lola Ford,1
18,Tom Pryce,GBR,Shadow Ford,1
18,Vittorio Brambilla,ITA,March Ford,1
