GRAND PRIX,DRIVER,CAR,TIME
Switzerland,Juan Manuel Fangio,Alfa Romeo,2:51.100
Indianapolis 500,Lee Wallard,Kurtis Kraft Offenhauser,1:07.260
Belgium,Juan Manuel Fangio,Alfa Romeo,4:22.100
France,Juan Manuel Fangio,Alfa Romeo,2:27.800
Great Britain,Nino Farina,Alfa Romeo,1:44.000
Germany,Juan Manuel Fangio,Alfa Romeo,9:55.800
Italy,Nino Farina,Alfa Romeo,1:56.500
Spain,Juan Manuel Fangio,Alfa Romeo,2:16.930
