POS,DRIVER,NATIONALITY,CAR,PTS
1,Jochen Rindt,AUT,Lotus Ford,45
2,Jacky Ickx,BEL,Ferrari,40
3,Clay Regazzoni,SUI,Ferrari,33
4,Denny Hulme,NZL,McLaren Ford,27
5,Jack Brabham,AUS,Brabham Ford,25
5,Jackie Stewart,GBR,Tyrrell Ford,25
7,Pedro Rodriguez,MEX,BRM,23
7,Chris Amon,NZL,March Ford,23
9,Jean-Pierre Beltoise,FRA,Matra,16
10,Emerson Fittipaldi,BRA,Lotus Ford,12
11,Rolf Stommelen,GER,Brabham Ford,10
12,Henri Pescarolo,FRA,Matra,8
13,Graham Hill,GBR,Lotus Ford,7
14,Bruce McLaren,NZL,McLaren Ford,6
15,Mario Andretti,USA,March Ford,4
15,Reine Wisell,SWE,Lotus Ford,4
17,Ignazio Giunti,ITA,Ferrari,3
17,John Surtees,GBR,Surtees Ford,3
19,John Miles,GBR,Lotus Ford,2
19,Johnny Servoz-Gavin,FRA,March Ford,2
19,Jackie Oliver,GBR,BRM,2
22,Dan Gurney,USA,McLaren Ford,1
22,Francois Cevert,FRA,March Ford,1
22,Peter Gethin,GBR,McLaren Ford,1
22,Derek Bell,GBR,Surtees Ford,1
