POS,DRIVER,NATIONALITY,CAR,PTS
1,John Surtees,GBR,Ferrari,40
2,Graham Hill,GBR,BRM,39
3,Jim Clark,GBR,Lotus Climax,32
4,Lorenzo Bandini,ITA,Ferrari,23
4,Richie Ginther,USA,BRM,23
6,Dan Gurney,USA,Brabham Climax,19
7,Bruce McLaren,NZL,Cooper Climax,13
8,Peter Arundell,GBR,Lotus Climax,11
8,Jack Brabham,AUS,Brabham Climax,11
10,Jo Siffert,SUI,Brabham BRM,7
11,Bob Anderson,GBR,Brabham Climax,5
12,Tony Maggs,RSA,BRM,4
12,Mike Spence,GBR,Lotus Climax,4
12,Innes Ireland,GBR,BRP BRM,4
15,Jo Bonnier,SWE,Brabham Climax,3
16,Chris Amon,NZL,Lotus BRM,2
16,Maurice Trintignant,FRA,BRM,2
16,Walt Hansgen,USA,Lotus Climax,2
19,Mike Hailwood,GBR,Lotus BRM,1
19,Phil Hill,USA,Cooper Climax,1
19,Trevor Taylor,GBR,BRP BRM,1
19,Pedro Rodriguez,MEX,Ferrari,1
