GRAND PRIX,DRIVER,CAR,TIME
Australia,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:25.945
Bahrain,Valtteri Bottas,Mercedes,1:33.740
China,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:35.785
Azerbaijan,Valtteri Bottas,Mercedes,1:45.149
Spain,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:18.441
Monaco,Max Verstappen,Red Bull Racing TAG Heuer,1:14.260
Canada,Max Verstappen,Red Bull Racing TAG Heuer,1:13.864
France,Valtteri Bottas,Mercedes,1:34.225
Austria,Kimi Räikkönen,Ferrari,1:06.957
Great Britain,Sebastian Vettel,Ferrari,1:30.696
Germany,Lewis Hamilton,Mercedes,1:15.545
Hungary,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:20.012
Belgium,Valtteri Bottas,Mercedes,1:46.286
Italy,Lewis Hamilton,Mercedes,1:22.497
Singapore,Kevin Magnussen,Haas Ferrari,1:41.905
Russia,Valtteri Bottas,Mercedes,1:35.861
Japan,Sebastian Vettel,Ferrari,1:32.318
United States,Lewis Hamilton,Mercedes,1:37.392
Mexico,Valtteri Bottas,Mercedes,1:18.741
Brazil,Valtteri Bottas,Mercedes,1:10.540
Abu Dhabi,Sebastian Vettel,Ferrari,1:40.867
