GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,26 Mar 2017,Williams Mercedes,DNF,0
China,09 Apr 2017,Williams Mercedes,DNF,0
Bahrain,16 Apr 2017,Williams Mercedes,DNF,0
Russia,30 Apr 2017,Williams Mercedes,11,0
Spain,14 May 2017,Williams Mercedes,16,0
Monaco,28 May 2017,Williams Mercedes,DNF,0
Canada,11 Jun 2017,Williams Mercedes,9,2
Azerbaijan,25 Jun 2017,Williams Mercedes,3,15
Austria,09 Jul 2017,Williams Mercedes,10,1
Great Britain,16 Jul 2017,Williams Mercedes,16,0
Hungary,30 Jul 2017,Williams Mercedes,14,0
Belgium,27 Aug 2017,Williams Mercedes,11,0
Italy,03 Sep 2017,Williams Mercedes,7,6
Singapore,17 Sep 2017,Williams Mercedes,8,4
Malaysia,01 Oct 2017,Williams Mercedes,8,4
Japan,08 Oct 2017,Williams Mercedes,DNF,0
United States,22 Oct 2017,Williams Mercedes,11,0
Mexico,29 Oct 2017,Williams Mercedes,6,8
Brazil,12 Nov 2017,Williams Mercedes,16,0
Abu Dhabi,26 Nov 2017,Williams Mercedes,18,0
