GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,16 Apr 2017,Sauber Ferrari,11,0
Russia,30 Apr 2017,Sauber Ferrari,16,0
Spain,14 May 2017,Sauber Ferrari,8,4
Monaco,28 May 2017,Sauber Ferrari,DNF,0
Canada,11 Jun 2017,Sauber Ferrari,15,0
Azerbaijan,25 Jun 2017,Sauber Ferrari,10,1
Austria,09 Jul 2017,Sauber Ferrari,14,0
Great Britain,16 Jul 2017,Sauber Ferrari,17,0
Hungary,30 Jul 2017,Sauber Ferrari,15,0
Belgium,27 Aug 2017,Sauber Ferrari,DNF,0
Italy,03 Sep 2017,Sauber Ferrari,16,0
Singapore,17 Sep 2017,Sauber Ferrari,12,0
Malaysia,01 Oct 2017,Sauber Ferrari,17,0
Japan,08 Oct 2017,Sauber Ferrari,15,0
United States,22 Oct 2017,Sauber Ferrari,DNF,0
Mexico,29 Oct 2017,Sauber Ferrari,14,0
Brazil,12 Nov 2017,Sauber Ferrari,14,0
Abu Dhabi,26 Nov 2017,Sauber Ferrari,14,0
