GRAND PRIX,DRIVER,CAR,TIME
Argentina,Juan Manuel Fangio,Mercedes-Benz,1:48.300
Monaco,Juan Manuel Fangio,Mercedes-Benz,1:42.400
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:03.670
Belgium,Juan Manuel Fangio,Mercedes-Benz,4:20.600
Netherlands,Roberto Mieres,Maserati,1:40.900
Great Britain,Stirling Moss,Mercedes-Benz,2:00.400
Italy,Stirling Moss,Mercedes-Benz,2:46.900
