POS,DRIVER,NATIONALITY,CAR,PTS
1,Phil Hill,USA,Ferrari,34
2,Wolfgang von Trips,GER,Ferrari,33
3,Stirling Moss,GBR,Lotus Climax,21
3,Dan Gurney,USA,Porsche,21
5,Richie Ginther,USA,Ferrari,16
6,Innes Ireland,GBR,Lotus Climax,12
7,Jim Clark,GBR,Lotus Climax,11
7,Bruce McLaren,NZL,Cooper Climax,11
9,Giancarlo Baghetti,ITA,Ferrari,9
10,Tony Brooks,GBR,BRM Climax,6
11,Jack Brabham,AUS,Cooper Climax,4
11,John Surtees,GBR,Cooper Climax,4
13,Olivier Gendebien,BEL,Lotus Climax,3
13,Jackie Lewis,GBR,Cooper Climax,3
13,Jo Bonnier,SWE,Porsche,3
13,Graham Hill,GBR,BRM Climax,3
17,Roy Salvadori,GBR,Cooper Climax,2
