GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Belgium,18 Jun 1961,Lotus Climax,DNF,0
France,02 Jul 1961,Lotus Climax,4,3
Great Britain,15 Jul 1961,Lotus Climax,10,0
Germany,06 Aug 1961,Lotus Climax,DNF,0
Italy,10 Sep 1961,Lotus Climax,DNF,0
United States,08 Oct 1961,Lotus Climax,1,9
