GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,03 Mar 2002,Minardi Asiatech,5,2
Malaysia,17 Mar 2002,Minardi Asiatech,DNF,0
Brazil,31 Mar 2002,Minardi Asiatech,11,0
San Marino,14 Apr 2002,Minardi Asiatech,11,0
Austria,12 May 2002,Minardi Asiatech,12,0
Monaco,26 May 2002,Minardi Asiatech,11,0
Canada,09 Jun 2002,Minardi Asiatech,11,0
Europe,23 Jun 2002,Minardi Asiatech,15,0
Great Britain,07 Jul 2002,Minardi Asiatech,DNF,0
France,21 Jul 2002,Minardi Asiatech,8,0
Germany,28 Jul 2002,Minardi Asiatech,DNF,0
Hungary,18 Aug 2002,Minardi Asiatech,16,0
Belgium,01 Sep 2002,Minardi Asiatech,DNF,0
Italy,15 Sep 2002,Minardi Asiatech,DNF,0
United States,29 Sep 2002,Minardi Asiatech,DNF,0
Japan,13 Oct 2002,Minardi Asiatech,10,0
