POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,11,Carlos Reutemann,Ferrari,59,1:40:48.800,9
2,27,Alan Jones,Williams Ford,59,+19.739s,6
3,20,Jody Scheckter,Wolf Ford,59,+45.701s,4
4,15,Jean-Pierre Jabouille,Renault,59,+85.007s,3
5,14,Emerson Fittipaldi,Fittipaldi Ford,59,+88.089s,2
6,8,Patrick Tambay,McLaren Ford,59,+110.210s,1
7,7,James Hunt,McLaren Ford,58,+1 lap,0
8,22,Derek Daly,Ensign Ford,58,+1 lap,0
9,18,Rene Arnoux,Surtees Ford,58,+1 lap,0
10,3,Didier Pironi,Tyrrell Ford,58,+1 lap,0
11,26,Jacques Laffite,Ligier Matra,58,+1 lap,0
12,21,Bobby Rahal,Wolf Ford,58,+1 lap,0
13,23,Brett Lunger,Ensign Ford,58,+1 lap,0
14,17,Clay Regazzoni,Shadow Ford,56,+3 laps,0
15,55,Jean-Pierre Jarier,Lotus Ford,55,DNF,0
16,36,Rolf Stommelen,Arrows Ford,54,+5 laps,0
NC,37,Arturo Merzario,Merzario Ford,46,DNF,0
NC,9,Michael Bleekemolen,ATS Ford,43,DNF,0
NC,1,Niki Lauda,Brabham Alfa Romeo,28,DNF,0
NC,5,Mario Andretti,Lotus Ford,27,DNF,0
NC,2,John Watson,Brabham Alfa Romeo,25,DNF,0
NC,4,Patrick Depailler,Tyrrell Ford,23,DNF,0
NC,12,Gilles Villeneuve,Ferrari,22,DNF,0
NC,32,Keke Rosberg,ATS Ford,21,DNF,0
NC,16,Hans-Joachim Stuck,Shadow Ford,1,DNF,0
NC,25,Hector Rebaque,Lotus Ford,0,DNF,0
