POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Mario Andretti,Lotus Ford,75,1:41:04.230,9
2,6,Ronnie Peterson,Lotus Ford,75,+0.320s,6
3,1,Niki Lauda,Brabham Alfa Romeo,75,+12.210s,4
4,2,John Watson,Brabham Alfa Romeo,75,+20.920s,3
5,14,Emerson Fittipaldi,Fittipaldi Ford,75,+21.500s,2
6,12,Gilles Villeneuve,Ferrari,75,+45.950s,1
7,11,Carlos Reutemann,Ferrari,75,+60.500s,0
8,26,Jacques Laffite,Ligier Matra,74,+1 lap,0
9,8,Patrick Tambay,McLaren Ford,74,+1 lap,0
10,7,James Hunt,McLaren Ford,74,+1 lap,0
11,25,Hector Rebaque,Lotus Ford,74,+1 lap,0
12,20,Jody Scheckter,Wolf Ford,73,+2 laps,0
NC,33,Bruno Giacomelli,McLaren Ford,60,DNF,0
NC,16,Hans-Joachim Stuck,Shadow Ford,56,DNF,0
NC,31,Rene Arnoux,Martini Ford,40,DNF,0
NC,37,Arturo Merzario,Merzario Ford,40,DNF,0
DQ,19,Vittorio Brambilla,Surtees Ford,37,DSQ,0
NC,15,Jean-Pierre Jabouille,Renault,35,DNF,0
NC,30,Brett Lunger,McLaren Ford,35,DNF,0
NC,32,Keke Rosberg,Wolf Ford,21,DNF,0
NC,27,Alan Jones,Williams Ford,17,DNF,0
NC,29,Nelson Piquet,McLaren Ford,16,DNF,0
NC,4,Patrick Depailler,Tyrrell Ford,13,DNF,0
NC,22,Derek Daly,Ensign Ford,10,DNF,0
NC,35,Riccardo Patrese,Arrows Ford,0,DNF,0
NC,3,Didier Pironi,Tyrrell Ford,0,DNF,0
NC,18,Rupert Keegan,Surtees Ford,,DNS,0
