GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,12 Jan 1975,McLaren Ford,1,9
Brazil,26 Jan 1975,McLaren Ford,2,6
South Africa,01 Mar 1975,McLaren Ford,DNC,0
Monaco,11 May 1975,McLaren Ford,2,6
Belgium,25 May 1975,McLaren Ford,7,0
Sweden,08 Jun 1975,McLaren Ford,8,0
Netherlands,22 Jun 1975,McLaren Ford,DNF,0
France,06 Jul 1975,McLaren Ford,4,3
Great Britain,19 Jul 1975,McLaren Ford,1,9
Germany,03 Aug 1975,McLaren Ford,DNF,0
Austria,17 Aug 1975,McLaren Ford,9,0
Italy,07 Sep 1975,McLaren Ford,2,6
United States,05 Oct 1975,McLaren Ford,2,6
