POS,DRIVER,NATIONALITY,CAR,PTS
1,Niki Lauda,AUT,Ferrari,64.5
2,Emerson Fittipaldi,BRA,McLaren Ford,45
3,Carlos Reutemann,ARG,Brabham Ford,37
4,James Hunt,GBR,Hesketh Ford,33
5,Clay Regazzoni,SUI,Ferrari,25
6,Carlos Pace,BRA,Brabham Ford,24
7,Jody Scheckter,RSA,Tyrrell Ford,20
7,Jochen Mass,GER,McLaren Ford,20
9,Patrick Depailler,FRA,Tyrrell Ford,12
10,Tom Pryce,GBR,Shadow Ford,8
11,Vittorio Brambilla,ITA,March Ford,6.5
12,Jacques Laffite,FRA,Frank Williams Racing Cars/Williams,6
12,Ronnie Peterson,SWE,Lotus Ford,6
14,Mario Andretti,USA,Parnelli Ford,5
15,Mark Donohue,USA,March Ford,4
16,Jacky Ickx,BEL,Lotus Ford,3
17,Alan Jones,AUS,Hill Ford,2
18,Jean-Pierre Jarier,FRA,Shadow Ford,1.5
19,Tony Brise,GBR,Hill Ford,1
19,Gijs van Lennep,NED,Ensign Ford,1
21,Lella Lombardi,ITA,Frank Williams Racing Cars/Williams,0.5
