GRAND PRIX,DRIVER,CAR,TIME
Australia,Mika Hakkinen,McLaren Mercedes,1:31.649
Brazil,Mika Hakkinen,McLaren Mercedes,1:19.337
Argentina,Alexander Wurz,Benetton Playlife,1:28.179
San Marino,Michael Schumacher,Ferrari,1:29.345
Spain,Mika Hakkinen,McLaren Mercedes,1:24.275
Monaco,Mika Hakkinen,McLaren Mercedes,1:22.948
Canada,Michael Schumacher,Ferrari,1:19.379
France,David Coulthard,McLaren Mercedes,1:17.523
Great Britain,Michael Schumacher,Ferrari,1:35.704
Austria,David Coulthard,McLaren Mercedes,1:12.878
Germany,David Coulthard,McLaren Mercedes,1:46.116
Hungary,Michael Schumacher,Ferrari,1:19.286
Belgium,Michael Schumacher,Ferrari,2:03.766
Italy,Mika Hakkinen,McLaren Mercedes,1:25.139
Luxembourg,Mika Hakkinen,McLaren Mercedes,1:20.450
Japan,Michael Schumacher,Ferrari,1:40.190
