GRAND PRIX,DATE,PTS
Austria,05 Jul 2020,8
Styria,12 Jul 2020,-1
Hungary,19 Jul 2020,18
Great Britain,02 Aug 2020,2
70th Anniversary,09 Aug 2020,14
Spain,16 Aug 2020,22
Belgium,30 Aug 2020,3
Italy,06 Sep 2020,16
Tuscany,13 Sep 2020,10
Russia,27 Sep 2020,12
Eifel,11 Oct 2020,16
Portugal,25 Oct 2020,6
Emilia Romagna,01 Nov 2020,8
Turkey,15 Nov 2020,20
Bahrain,29 Nov 2020,0
Sakhir,06 Dec 2020,40
Abu Dhabi,13 Dec 2020,1
