GRAND PRIX,DRIVER,CAR,TIME
Brazil,Riccardo Patrese,Williams Renault,1:32.507
San Marino,Alain Prost,McLaren Honda,1:26.795
Monaco,Alain Prost,McLaren Honda,1:25.501
Mexico,Nigel Mansell,Ferrari,1:20.420
United States,Ayrton Senna,McLaren Honda,1:33.969
Canada,Jonathan Palmer,Tyrrell Ford,1:31.925
France,Mauricio Gugelmin,March Judd,1:12.090
Great Britain,Nigel Mansell,Ferrari,1:12.017
Germany,Ayrton Senna,McLaren Honda,1:45.884
Hungary,Nigel Mansell,Ferrari,1:22.637
Belgium,Alain Prost,McLaren Honda,2:11.571
Italy,Alain Prost,McLaren Honda,1:28.107
Portugal,Gerhard Berger,Ferrari,1:18.986
Spain,Ayrton Senna,McLaren Honda,1:25.779
Japan,Alain Prost,McLaren Honda,1:43.506
Australia,Satoru Nakajima,Lotus Judd,1:38.480
