GRAND PRIX,DRIVER,CAR,TIME
Brazil,Jean-Pierre Jarier,Shadow Ford,2:35.070
South Africa,Niki Lauda,Ferrari,1:17.970
USA West,Clay Regazzoni,Ferrari,1:23.076
Spain,Jochen Mass,McLaren Ford,1:20.930
Belgium,Niki Lauda,Ferrari,1:25.980
Monaco,Clay Regazzoni,Ferrari,1:30.280
Sweden,Mario Andretti,Lotus Ford,1:28.002
France,Niki Lauda,Ferrari,1:51.000
Great Britain,Niki Lauda,Ferrari,1:19.910
Germany,Jody Scheckter,Tyrrell Ford,7:10.800
Austria,James Hunt,McLaren Ford,1:35.910
Netherlands,Clay Regazzoni,Ferrari,1:22.590
Italy,Ronnie Peterson,March Ford,1:41.300
Canada,Patrick Depailler,Tyrrell Ford,1:13.817
USA East,James Hunt,McLaren Ford,1:42.851
Japan,Jacques Laffite,Ligier Matra,1:19.970
