GRAND PRIX,DATE,PTS
Belgium,09 Jun 1963,1
Netherlands,23 Jun 1963,0
Great Britain,20 Jul 1963,0
Germany,04 Aug 1963,3
United States,06 Oct 1963,1
Mexico,27 Oct 1963,0
South Africa,28 Dec 1963,0
