POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Dan Gurney,Brabham Climax,65,2:09:50.320,9
2,7,John Surtees,Ferrari,65,+68.940s,6
3,8,Lorenzo Bandini,Ferrari,65,+69.630s,4
4,2,Mike Spence,Lotus Climax,65,+81.860s,3
5,1,Jim Clark,Lotus Climax,64,DNF,2
6,18,Pedro Rodriguez,Ferrari,64,+1 lap,1
7,9,Bruce McLaren,Cooper Climax,64,+1 lap,0
8,4,Richie Ginther,BRM,64,+1 lap,0
9,10,Phil Hill,Cooper Climax,63,DNF,0
10,17,Moises Solana,Lotus Climax,63,+2 laps,0
11,3,Graham Hill,BRM,63,+2 laps,0
12,11,Innes Ireland,BRP BRM,61,+4 laps,0
13,23,Hap Sharp,Brabham BRM,60,+5 laps,0
NC,15,Chris Amon,Lotus BRM,45,DNF,0
NC,5,Jack Brabham,Brabham Climax,44,DNF,0
NC,14,Mike Hailwood,Lotus BRM,11,DNF,0
NC,22,Jo Siffert,Brabham BRM,10,DNF,0
NC,16,Jo Bonnier,Brabham Climax,9,DNF,0
NC,12,Trevor Taylor,BRP BRM,5,DNF,0
