GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,21 Jan 1979,Ferrari,DNF,0
Brazil,04 Feb 1979,Ferrari,5,2
South Africa,03 Mar 1979,Ferrari,1,9
USA West,08 Apr 1979,Ferrari,1,9
Spain,29 Apr 1979,Ferrari,7,0
Belgium,13 May 1979,Ferrari,DNF,0
Monaco,27 May 1979,Ferrari,DNF,0
France,01 Jul 1979,Ferrari,2,6
Great Britain,14 Jul 1979,Ferrari,DNF,0
Germany,29 Jul 1979,Ferrari,8,0
Austria,12 Aug 1979,Ferrari,2,6
Netherlands,26 Aug 1979,Ferrari,DNF,0
Italy,09 Sep 1979,Ferrari,2,6
Canada,30 Sep 1979,Ferrari,2,6
USA East,07 Oct 1979,Ferrari,1,9
