GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,13 Mar 1983,Arrows Ford,6,1
USA West,27 Mar 1983,Arrows Ford,5,2
France,17 Apr 1983,Arrows Ford,10,0
San Marino,01 May 1983,Arrows Ford,6,1
Monaco,15 May 1983,Arrows Ford,DNF,0
Belgium,22 May 1983,Arrows Ford,11,0
Detroit,05 Jun 1983,Arrows Ford,11,0
Great Britain,16 Jul 1983,Arrows Ford,17,0
Germany,07 Aug 1983,Arrows Ford,7,0
Netherlands,28 Aug 1983,Arrows Ford,8,0
Italy,11 Sep 1983,Arrows Ford,10,0
Europe,25 Sep 1983,Arrows Ford,DNF,0
South Africa,15 Oct 1983,Arrows Ford,8,0
