POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Mika Hakkinen,McLaren Mercedes,53,1:31:18.785,10
2,3,Michael Schumacher,Ferrari,53,+5.015s,6
3,4,Eddie Irvine,Ferrari,53,+95.688s,4
4,8,Heinz-Harald Frentzen,Jordan Mugen Honda,53,+98.635s,3
5,6,Ralf Schumacher,Williams Supertec,53,+99.494s,2
6,11,Jean Alesi,Sauber Petronas,52,+1 lap,1
7,17,Johnny Herbert,Stewart Ford,52,+1 lap,0
8,16,Rubens Barrichello,Stewart Ford,52,+1 lap,0
9,22,Jacques Villeneuve,BAR Supertec,52,+1 lap,0
10,10,Alexander Wurz,Benetton Playlife,52,+1 lap,0
11,12,Pedro Diniz,Sauber Petronas,52,+1 lap,0
12,23,Ricardo Zonta,BAR Supertec,52,+1 lap,0
13,14,Pedro de la Rosa,Arrows,51,+2 laps,0
14,9,Giancarlo Fisichella,Benetton Playlife,47,DNF,0
NC,15,Toranosuke Takagi,Arrows,43,DNF,0
NC,20,Luca Badoer,Minardi Ford,43,DNF,0
NC,2,David Coulthard,McLaren Mercedes,39,DNF,0
NC,21,Marc Gene,Minardi Ford,31,DNF,0
NC,7,Damon Hill,Jordan Mugen Honda,21,DNF,0
NC,18,Olivier Panis,Prost Peugeot,19,DNF,0
NC,19,Jarno Trulli,Prost Peugeot,3,DNF,0
NC,5,Alessandro Zanardi,Williams Supertec,0,DNF,0
