POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Sebastian Vettel,Red Bull Racing Renault,55,1:36:28.651,25
2,2,Mark Webber,Red Bull Racing Renault,55,+8.231s,18
3,5,Fernando Alonso,Ferrari,55,+13.944s,15
4,6,Felipe Massa,Ferrari,55,+20.168s,12
5,9,Kimi Räikkönen,Lotus Renault,55,+36.739s,10
6,12,Nico Hulkenberg,Force India Mercedes,55,+45.301s,8
7,10,Romain Grosjean,Lotus Renault,55,+54.812s,6
8,17,Jean-Eric Vergne,STR Ferrari,55,+69.589s,4
9,16,Daniel Ricciardo,STR Ferrari,55,+71.787s,2
10,4,Lewis Hamilton,McLaren Mercedes,55,+79.692s,1
11,15,Sergio Perez,Sauber Ferrari,55,+80.062s,0
12,11,Paul di Resta,Force India Mercedes,55,+84.448s,0
13,7,Michael Schumacher,Mercedes,55,+89.241s,0
14,18,Pastor Maldonado,Williams Renault,55,+94.924s,0
15,19,Bruno Senna,Williams Renault,55,+96.902s,0
16,21,Vitaly Petrov,Caterham Renault,54,+1 lap,0
17,20,Heikki Kovalainen,Caterham Renault,54,+1 lap,0
18,24,Timo Glock,Marussia Cosworth,54,+1 lap,0
19,25,Charles Pic,Marussia Cosworth,53,+2 laps,0
20,23,Narain Karthikeyan,HRT Cosworth,53,+2 laps,0
NC,22,Pedro de la Rosa,HRT Cosworth,16,DNF,0
NC,14,Kamui Kobayashi,Sauber Ferrari,16,DNF,0
NC,8,Nico Rosberg,Mercedes,1,DNF,0
NC,3,Jenson Button,McLaren Mercedes,0,DNF,0
